mode,standard
entry_z,1.5
exit_z,0.75
stop_z,3.4
beta,0.9063758947365238
alpha,167.20604341509897
z_window,252
cost_bps,12.0
adf_pvalue,5.346558506249588e-09
adf_note,
tilt_on,True
tilt_lag,0
tilt_sign,negative
tilt_q_lo,0.2
tilt_q_hi,0.8
tilt_favor,0.8
tilt_unfavor,1.2
tilt_days_long_fav,641
tilt_days_short_fav,639
tilt_days_neutral,1785
train_ann_return,0.14331872343104496
train_ann_vol,0.10284285589395857
train_sharpe,1.3935700461179443
train_max_drawdown,-0.07120427034514387
test_ann_return,0.3337743695989614
test_ann_vol,0.2707155114051472
test_sharpe,1.2329340415940984
test_max_drawdown,-0.08802562293503469
