feature,target,N,pearson_r,pearson_p,spearman_r,spearman_p
precip_mm,ret_cc_m,172,0.04422996927868668,0.5645321362849361,-0.017559292534510502,0.8191593326224365
precip_mm,ret_c_usd_m,172,-0.0657250877476598,0.3916561794942077,-0.08561968112539609,0.2640988139204227
precip_mm,ret_spread_m,172,0.18600676031391808,0.014564663680488348,0.09290588544819108,0.22544037405424674
gwetroot,ret_cc_m,172,0.030142057989205932,0.6946769500368418,0.023767860553496344,0.756953888358852
gwetroot,ret_c_usd_m,172,0.020572994782103286,0.7887969088758381,0.008840808550883416,0.9083635598937032
gwetroot,ret_spread_m,172,0.017968289032365147,0.8150218939531592,0.012546607356086184,0.8702398876214602
t2m_max,ret_cc_m,172,0.06933265082409232,0.366129622608553,0.04408677975016832,0.5657946368363516
t2m_max,ret_c_usd_m,172,0.061414859563487856,0.42351906484995017,0.029345590736424124,0.7023576981350459
t2m_max,ret_spread_m,172,0.017874044705852767,0.8159748277106423,0.04178262141620654,0.586292884436326
